"States and Washington, D.C.",2021,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,Growth rate
United States,"$69,717","$65,712","$63,179","$60,336","$57,617","$55,775","$53,657","$52,250","$51,371","$50,502","$50,046",3.07%
"Washington, D.C.","$90,088","$92,266","$85,203","$82,372","$75,506","$75,628","$71,648","$67,572","$66,583","$63,124","$60,903",3.68%
Maryland,"$90,203","$86,738","$83,242","$80,776","$78,945","$75,847","$73,971","$72,483","$71,122","$70,004","$68,854",2.49%
Massachusetts,"$89,645","$85,843","$79,835","$77,385","$75,297","$70,628","$69,160","$66,768","$65,339","$62,859","$62,072",3.41%
New Jersey,"$89,296","$85,751","$81,740","$80,088","$76,126","$72,222","$71,919","$70,165","$69,667","$67,458","$67,681",2.57%
New Hampshire,"$88,465","$77,933","$74,991","$73,381","$70,936","$70,303","$66,532","$64,230","$63,280","$62,647","$61,042",3.45%
California,"$84,907","$80,440","$75,277","$71,805","$67,739","$64,500","$61,933","$60,190","$58,328","$57,287","$57,708",3.59%
Hawaii,"$84,857","$83,102","$80,212","$77,765","$74,511","$73,486","$69,592","$68,020","$66,259","$61,821","$63,030",2.77%
Washington,"$84,247","$78,687","$74,073","$70,979","$67,106","$64,129","$61,366","$58,405","$57,573","$56,835","$55,631",3.86%
Connecticut,"$83,771","$78,833","$76,348","$74,168","$73,433","$71,346","$70,048","$67,098","$67,276","$65,753","$64,032",2.48%
Colorado,"$82,254","$77,127","$71,953","$69,117","$65,685","$63,909","$61,303","$58,823","$56,765","$55,387","$54,046",3.90%
Virginia,"$80,963","$76,456","$72,577","$71,535","$68,114","$66,262","$64,902","$62,666","$61,741","$61,882","$60,674",2.67%
Utah,"$79,449","$75,780","$71,414","$65,358","$65,977","$62,912","$60,922","$59,770","$57,049","$55,869","$54,744",3.48%
Alaska,"$77,845","$75,463","$74,346","$73,181","$76,440","$73,355","$71,583","$72,237","$67,712","$67,825","$64,576",1.75%
Minnesota,"$77,720","$74,593","$70,315","$68,388","$65,599","$63,488","$61,481","$60,702","$58,906","$56,954","$55,459",3.12%
New York,"$74,314","$72,108","$67,844","$64,894","$62,909","$60,850","$58,878","$57,369","$56,448","$55,246","$54,148",2.93%
Rhode Island,"$74,008","$71,169","$64,340","$63,870","$60,596","$58,073","$54,891","$55,902","$54,554","$53,636","$52,254",3.26%
Vermont,"$72,431","$63,001","$60,782","$57,513","$57,677","$56,990","$54,166","$52,578","$52,977","$52,776","$49,406",3.58%
Illinois,"$72,205","$69,187","$65,030","$62,992","$60,960","$59,588","$57,444","$56,210","$55,137","$53,234","$52,972",2.87%
Oregon,"$71,562","$67,058","$63,426","$60,212","$57,532","$54,148","$51,075","$50,251","$49,161","$46,816","$46,560",4.00%
Delaware,"$71,091","$70,176","$64,805","$62,852","$61,757","$61,255","$59,716","$57,846","$58,415","$58,814","$55,847",2.25%
Arizona,"$69,056","$62,055","$59,246","$56,581","$53,558","$51,492","$50,068","$48,510","$47,826","$46,709","$46,789",3.62%
Pennsylvania,"$68,957","$63,463","$60,905","$59,105","$56,907","$55,702","$53,234","$52,007","$51,230","$50,228","$49,288",3.11%
Wisconsin,"$67,125","$64,168","$60,773","$59,305","$56,811","$55,638","$52,622","$51,467","$51,059","$50,395","$49,001",2.91%
Texas,"$66,963","$64,034","$60,629","$59,206","$56,565","$55,653","$53,035","$51,704","$50,740","$49,392","$48,615",2.96%
Nebraska,"$66,817","$63,229","$59,566","$59,970","$56,927","$54,996","$52,686","$51,440","$50,723","$50,296","$48,408",2.99%
Georgia,"$66,559","$61,980","$58,756","$56,183","$53,559","$51,244","$49,321","$47,829","$47,209","$46,007","$46,430",3.34%
North Dakota,"$66,519","$64,577","$63,837","$61,843","$60,656","$60,557","$59,029","$55,759","$53,585","$51,704","$48,670",2.90%
Idaho,"$66,474","$60,999","$55,583","$52,225","$51,807","$48,275","$47,861","$46,783","$45,489","$43,341","$43,490",3.97%
Nevada,"$66,274","$63,276","$58,646","$58,003","$55,180","$52,431","$51,450","$51,230","$49,760","$48,927","$51,001",2.45%
South Dakota,"$66,143","$59,533","$56,274","$56,521","$54,467","$53,017","$50,979","$48,947","$48,362","$48,321","$45,904",3.40%
Iowa,"$65,600","$61,691","$59,955","$58,570","$56,247","$54,736","$53,712","$52,229","$50,957","$49,427","$47,961",2.89%
Wyoming,"$65,204","$65,003","$61,584","$60,434","$59,882","$60,214","$57,055","$58,752","$54,901","$56,322","$53,512",1.87%
Maine,"$64,767","$58,924","$55,602","$55,277","$53,079","$51,494","$49,462","$46,974","$46,709","$46,033","$45,815",3.22%
Kansas,"$64,124","$62,087","$58,218","$56,422","$54,935","$53,906","$52,504","$50,972","$50,241","$48,964","$48,257",2.63%
Michigan,"$63,498","$59,584","$56,697","$54,909","$52,491","$51,084","$49,847","$48,273","$46,859","$45,981","$45,413",3.10%
Montana,"$63,249","$57,153","$55,328","$53,386","$50,027","$49,509","$46,328","$46,972","$45,076","$44,222","$42,666",3.67%
